country;oneSidedViolence;nonStateConflict;extrasystemic;intrastate;interstate;year;totalWarDeaths
Serbia;0;0;0;32;0;1992;32
Serbia;0;0;0;0;0;1997;0
Serbia;2;0;0;859;0;2002;861
Serbia;0;0;0;0;0;2007;0
Seychelles;0;0;0;0;0;1992;0
Seychelles;0;0;0;0;0;1997;0
Seychelles;0;0;0;0;0;2002;0
Seychelles;0;0;0;0;0;2007;0
Sierra Leone;963;7;0;770;0;1992;1740
Sierra Leone;4167;46;0;3828;0;1997;8041
Sierra Leone;3674;0;0;6872;0;2002;10546
Sierra Leone;0;0;0;0;0;2007;0
Singapore;0;0;0;0;0;1992;0
Singapore;0;0;0;0;0;1997;0
Singapore;0;0;0;0;0;2002;0
Singapore;0;0;0;0;0;2007;0
Slovakia;0;0;0;0;0;1992;0
Slovakia;0;0;0;0;0;1997;0
Slovakia;0;0;0;0;0;2002;0
Slovakia;0;0;0;0;0;2007;0
Slovenia;0;0;0;64;0;1992;64
Slovenia;0;0;0;0;0;1997;0
Slovenia;0;0;0;0;0;2002;0
Slovenia;0;0;0;0;0;2007;0
Solomon Islands;0;0;0;2;0;1992;2
Solomon Islands;0;0;0;0;0;1997;0
Solomon Islands;0;0;0;0;0;2002;0
Solomon Islands;0;0;0;0;0;2007;0
Somalia;1228;3535;0;12182;0;1992;16945
Somalia;0;1947;0;806;0;1997;2753
Somalia;37;1695;0;342;0;2002;2074
Somalia;9;2029;0;2122;0;2007;4160
South Africa;355;2764;0;0;0;1992;3119
South Africa;273;1424;0;0;0;1997;1697
South Africa;0;29;0;0;0;2002;29
South Africa;0;0;0;0;0;2007;0
South Korea;0;0;0;0;0;1992;0
South Korea;0;0;0;0;0;1997;0
South Korea;0;0;0;0;0;2002;0
South Korea;0;0;0;0;0;2007;0
South Ossetia;0;0;0;0;0;1992;0
South Ossetia;0;0;0;0;0;1997;0
South Ossetia;0;0;0;0;0;2002;0
South Ossetia;0;0;0;0;0;2007;0
South Sudan;3023;2278;0;10430;0;1992;15731
South Sudan;1543;4963;0;6972;0;1997;13478
South Sudan;1499;1058;0;9608;0;2002;12165
South Sudan;621;678;0;775;0;2007;2074
Spain;0;0;0;45;0;1992;45
Spain;0;0;0;0;0;1997;0
Spain;0;0;0;0;0;2002;0
Spain;191;0;0;0;0;2007;191
Sri Lanka;2168;351;0;14678;0;1992;17197
Sri Lanka;451;29;0;14235;0;1997;14715
Sri Lanka;157;0;0;9313;0;2002;9470
Sri Lanka;152;187;0;4551;0;2007;4890
Sudan;2489;2000;0;1510;0;1992;5999
Sudan;741;309;0;1467;0;1997;2517
Sudan;467;523;0;5301;0;2002;6291
Sudan;9636;1450;0;6240;0;2007;17326
Suriname;0;0;0;0;0;1992;0
Suriname;0;0;0;0;0;1997;0
Suriname;0;0;0;0;0;2002;0
Suriname;0;0;0;0;0;2007;0
Sweden;0;0;0;0;0;1992;0
Sweden;0;0;0;0;0;1997;0
Sweden;0;0;0;0;0;2002;0
Sweden;0;0;0;0;0;2007;0
Switzerland;0;0;0;0;0;1992;0
Switzerland;0;0;0;0;0;1997;0
Switzerland;0;0;0;0;0;2002;0
Switzerland;0;0;0;0;0;2007;0
Syria;0;0;0;0;0;1992;0
Syria;0;0;0;0;0;1997;0
Syria;0;0;0;1;0;2002;1
Syria;0;0;0;1;0;2007;1
Taiwan;0;0;0;0;0;1992;0
Taiwan;0;0;0;0;0;1997;0
Taiwan;0;0;0;0;0;2002;0
Taiwan;0;0;0;0;0;2007;0
Tajikistan;96;408;0;3355;0;1992;3859
Tajikistan;0;0;0;4646;0;1997;4646
Tajikistan;0;0;0;649;0;2002;649
Tajikistan;0;0;0;0;0;2007;0
Tanzania;0;0;0;0;0;1992;0
Tanzania;3;0;0;0;0;1997;3
Tanzania;37;0;0;4;0;2002;41
Tanzania;3;0;0;0;0;2007;3
Thailand;0;2;0;25;0;1992;27
Thailand;5;7;0;0;0;1997;12
Thailand;1;0;0;96;0;2002;97
Thailand;1081;2;0;807;0;2007;1890
Togo;32;31;0;0;0;1992;63
Togo;48;0;0;0;0;1997;48
Togo;0;0;0;0;0;2002;0
Togo;436;0;0;0;0;2007;436
Tonga;0;0;0;0;0;1992;0
Tonga;0;0;0;0;0;1997;0
Tonga;0;0;0;0;0;2002;0
Tonga;0;0;0;0;0;2007;0
Trinidad and Tobago;0;0;0;39;0;1992;39
Trinidad and Tobago;0;0;0;0;0;1997;0
Trinidad and Tobago;0;0;0;0;0;2002;0
Trinidad and Tobago;0;0;0;0;0;2007;0
Tunisia;0;0;0;0;0;1992;0
Tunisia;0;0;0;0;0;1997;0
Tunisia;21;0;0;0;0;2002;21
Tunisia;0;0;0;0;0;2007;0
Turkey;449;0;0;2991;0;1992;3440
Turkey;725;143;0;16116;0;1997;16984
Turkey;64;0;0;3406;0;2002;3470
Turkey;44;0;0;1299;0;2007;1343
Turkmenistan;0;0;0;0;0;1992;0
Turkmenistan;0;0;0;0;0;1997;0
Turkmenistan;0;0;0;0;0;2002;0
Turkmenistan;0;0;0;0;0;2007;0
Tuvalu;0;0;0;0;0;1992;0
Tuvalu;0;0;0;0;0;1997;0
Tuvalu;0;0;0;0;0;2002;0
Tuvalu;0;0;0;0;0;2007;0
Uganda;370;0;0;2577;0;1992;2947
Uganda;1472;0;0;2348;0;1997;3820
Uganda;1391;1216;0;2283;0;2002;4890
Uganda;1651;441;0;2780;0;2007;4872
Ukraine;0;0;0;0;0;1992;0
Ukraine;0;0;0;0;0;1997;0
Ukraine;0;0;0;0;0;2002;0
Ukraine;0;0;0;0;0;2007;0
United Arab Emirates;0;0;0;0;0;1992;0
United Arab Emirates;0;0;0;0;0;1997;0
United Arab Emirates;0;0;0;0;0;2002;0
United Arab Emirates;0;0;0;0;0;2007;0
United Kingdom;0;0;0;102;0;1992;102
United Kingdom;32;0;0;0;0;1997;32
United Kingdom;0;0;0;29;0;2002;29
United Kingdom;52;0;0;0;0;2007;52
United States;0;0;0;0;0;1992;0
United States;0;0;0;0;0;1997;0
United States;2753;0;0;233;0;2002;2986
United States;0;0;0;0;0;2007;0
Uruguay;0;0;0;0;0;1992;0
Uruguay;0;0;0;0;0;1997;0
Uruguay;0;0;0;0;0;2002;0
Uruguay;0;0;0;0;0;2007;0
Uzbekistan;0;97;0;0;0;1992;97
Uzbekistan;0;0;0;0;0;1997;0
Uzbekistan;0;0;0;358;0;2002;358
Uzbekistan;0;0;0;37;0;2007;37
Vanuatu;0;0;0;0;0;1992;0
Vanuatu;0;0;0;0;0;1997;0
Vanuatu;0;0;0;0;0;2002;0
Vanuatu;0;0;0;0;0;2007;0
Venezuela;231;0;0;144;0;1992;375
Venezuela;159;157;0;0;0;1997;316
Venezuela;137;0;0;10;0;2002;147
Venezuela;87;0;0;3;0;2007;90
Vietnam;0;0;0;0;0;1992;0
Vietnam;0;0;0;0;0;1997;0
Vietnam;0;0;0;0;0;2002;0
Vietnam;0;0;0;0;0;2007;0
West Germany;0;0;0;0;0;1992;0
West Germany;0;0;0;0;0;1997;0
West Germany;0;0;0;0;0;2002;0
West Germany;0;0;0;0;0;2007;0
Western Sahara;0;0;0;207;0;1992;207
Western Sahara;0;0;0;0;0;1997;0
Western Sahara;0;0;0;0;0;2002;0
Western Sahara;0;0;0;0;0;2007;0
World;39297;23739;0;235372;23868;1992;322276
World;890414;32992;0;189074;359;1997;1112839
World;62047;27657;0;143479;101155;2002;334338
World;40889;17163;0;86375;8164;2007;152591
Yemen;0;0;0;0;0;1992;0
Yemen;0;0;0;1489;0;1997;1489
Yemen;0;0;0;2;0;2002;2
Yemen;0;29;0;0;0;2007;29
Yemen People's Republic;0;0;0;0;0;1992;0
Yemen People's Republic;0;0;0;0;0;1997;0
Yemen People's Republic;0;0;0;0;0;2002;0
Yemen People's Republic;0;0;0;0;0;2007;0
Yugoslavia;0;0;0;0;0;1992;0
Yugoslavia;0;0;0;0;0;1997;0
Yugoslavia;0;0;0;0;0;2002;0
Yugoslavia;0;0;0;0;0;2007;0
Zambia;126;0;0;0;0;1992;126
Zambia;1;0;0;0;0;1997;1
Zambia;37;0;0;0;0;2002;37
Zambia;0;0;0;0;0;2007;0
Zimbabwe;51;0;0;0;0;1992;51
Zimbabwe;0;0;0;0;0;1997;0
Zimbabwe;0;0;0;0;0;2002;0
Zimbabwe;0;0;0;0;0;2007;0
